0,7,-2,0,愛心
1,3,0,2;10,起點
2,4,0,1;3,國文
3,5,0,2;4,交電
4,6,0,3;5,普化
5,7,0,4;6;11,事件
6,8,0,5;7,機會命運
7,9,0,6;8,道具
8,10,0,7;9,計程
9,11,0,8;12,起點
10,3,1,1;13,機會命運
11,7,1,5;14,體育
12,11,1,9;15,計程
13,3,2,10;19,普物
14,7,2,11;22,普物
15,11,2,12;25,事件
16,0,3,17;26,MF
17,1,3,16;18,普物
18,2,3,17;19,體育
19,3,3,13;18;27,事件
20,5,3,21;28,機會命運
21,6,3,20;22,道具
22,7,3,14;21;23,事件
23,8,3,22;24,交電
24,9,3,23;29,計程
25,11,3,15;30,普化
26,0,4,16;31,普物
27,3,4,19;32,微積分
28,5,4,20;34,微積分
29,9,4,24;35,普物
30,11,4,25;37,機會命運
31,0,5,26;38,交電
32,3,5,27;33;39,機會命運
33,4,5,32;34,普化
34,5,5,28;33;40,事件
35,9,5,29;36;41,事件
36,10,5,35;37,微積分
37,11,5,30;36;42,道具
38,0,6,31;43,機會命運
39,3,6,32;46,普化
40,5,6,34;47,道具
41,9,6,35;51,微積分
42,11,6,37;52,體育
43,0,7,38;44;53,道具
44,1,7,43;45,微積分
45,2,7,44;46,普化
46,3,7,39;45;54,事件
47,5,7,40;48,計程
48,6,7,47;49,機會命運
49,7,7,48;50;55,事件
50,8,7,49;51,微積分
51,9,7,41;50,ZN
52,11,7,42;56,微積分
53,0,8,43;57,計程
54,3,8,46;58,國文
55,7,8,49;59,普化
56,11,8,52;60,交電
57,0,9,53;61,計程
58,3,9,54;64,微積分
59,7,9,55;68,普物
60,11,9,56;72,國文
61,0,10,57;62,起點
62,1,10,61;63,機會命運
63,2,10,62;64,體育
64,3,10,58;63;65,事件
65,4,10,64;66,交電
66,5,10,65;67,道具
67,6,10,66;68,普化
68,7,10,59;67;69,事件
69,8,10,68;70,微積分
70,9,10,69;71,機會命運
71,10,10,70;72,國文
72,11,10,60;71,起點
